Category,Department,Keywords,Severity
Theft,Directorate of Police,"bike gone, theft, theft from vehicle, ransacked, break-in",Medium
Drug-Related Offenses,Chief of Narcotics Control,"dealing from car, drug money, prescription drugs",Critical
Assault,Commissioner of Law Enforcement,"violent attack, getting violent, battery, physical abuse, picked a fight, threatening",High
Assault,Commissioner of Law Enforcement,"gang violence, jumped me, attack, started swinging, attacked me",Medium
Assault,Commissioner of Law Enforcement,"hit, got attacked, getting in my face, physical injury, beat me up, violence",Low
Fraud,Head of Financial Crimes Unit,"identity stolen, investment scam, scam, phone scam, card got charged",High
Drug-Related Offenses,Chief of Narcotics Control,"late night activity, illegal prescriptions, narcotics",Medium
Fraud,Head of Financial Crimes Unit,"gift card scam, credit card, fake currency, medicare fraud",Medium
Assault,Commissioner of Law Enforcement,"beaten, ganged up on, getting physical, came at me, acting aggressive, weapon assault",Medium
Fraud,Head of Financial Crimes Unit,"fake email, lottery scam, credit card skimming, embezzlement",Critical
Cybercrime,Head of Cyber Crime Bureau,"online threats, bitcoin scam, fake profile, digital extortion, internet scam",Low
Fraud,Head of Financial Crimes Unit,"securities fraud, fraudulent documents, counterfeit, inheritance scam, forgery, unauthorized purchase",Low
Theft,Directorate of Police,"stolen from my yard, car gone, ran off with",Medium
Drug-Related Offenses,Chief of Narcotics Control,"dealing from car, constant visitors, suspicious transactions",Low
Assault,Commissioner of Law Enforcement,"violence, aggressive behavior, pushed me around, threatened to hurt",High
Cybercrime,Head of Cyber Crime Bureau,"suspicious login, hacked, social media scam, webcam hacked, cyber bullying",Low
Fraud,Head of Financial Crimes Unit,"identity theft, fraud, pyramid scheme, ponzi scheme, gift card scam, fraudulent documents",Low
Theft,Directorate of Police,"broke into my house, emptied my, made off with",High
Fraud,Head of Financial Crimes Unit,"tax fraud, romance scam, healthcare fraud, loan fraud, internet fraud, telemarketing fraud",Low
Cybercrime,Head of Cyber Crime Bureau,"internet scam, bitcoin scam, credential theft, cyber bullying",Medium
Drug-Related Offenses,Chief of Narcotics Control,"possession, illegal prescription, narcotics, trafficking, drug manufacturing",High
Drug-Related Offenses,Chief of Narcotics Control,"drug money, synthetic drugs, cocaine, drug drops",Low
Cybercrime,Head of Cyber Crime Bureau,"password theft, online threats, suspicious login, account hacked, fake website, cyberstalking",Low
Cybercrime,Head of Cyber Crime Bureau,"phone hacked, phishing, cryptocurrency scam, suspicious activity online, botnet attack, cyber stalking",Medium
Assault,Commissioner of Law Enforcement,"aggressive behavior, violent behavior, getting in my face, acting aggressive, beaten, getting threatening",Medium
Drug-Related Offenses,Chief of Narcotics Control,"synthetic drugs, drug smuggling, drug house, drug distribution, illegal prescription, dealing from car",Low
Theft,Directorate of Police,"ransacked, theft from vehicle, porch pirate",Critical
Drug-Related Offenses,Chief of Narcotics Control,"controlled substances, drug drops, drug money, constant visitors, people coming and going, crystal meth",High
Theft,Directorate of Police,"theft, someone took my, snatched, went missing from, stolen from my yard",Low
Fraud,Head of Financial Crimes Unit,"fake currency, corporate fraud, pretending to be",High
Assault,Commissioner of Law Enforcement,"fight, battery, pushed me around, brawl, throwing things, roughed up",Medium
Assault,Commissioner of Law Enforcement,"violent outburst, getting in my face, physical intimidation, getting violent, shoved me, hit",High
Fraud,Head of Financial Crimes Unit,"credit card skimming, fraudulent documents, insurance scam",Medium
Assault,Commissioner of Law Enforcement,"threw punches, got jumped, threatening, coming after me, threatened to hurt",High
Theft,Directorate of Police,"went missing from, stolen from my yard, cash stolen, missing, retail theft, purse snatching",Critical
Assault,Commissioner of Law Enforcement,"fight, school violence, threatened to hurt, domestic violence, punch, assault and battery",Medium
Theft,Directorate of Police,"stole from me, items missing, stolen from my yard",Medium
Drug-Related Offenses,Chief of Narcotics Control,"needles found, possession, marijuana",Low
Assault,Commissioner of Law Enforcement,"jumped me, acting aggressive, physical harassment, got beaten, hit",High
Drug-Related Offenses,Chief of Narcotics Control,"trafficking, needles found, pharmaceutical theft, cocaine, people coming and going, drug manufacturing",High
Theft,Directorate of Police,"shoplifting, broke in and took, nicked my",Critical
Drug-Related Offenses,Chief of Narcotics Control,"controlled substances, lots of traffic, people coming and going",Critical
Assault,Commissioner of Law Enforcement,"roughed up, hit, getting violent, shoved me, physical abuse, physical altercation",Critical
Drug-Related Offenses,Chief of Narcotics Control,"crack cocaine, psychedelic drugs, drug drops, suspicious packages, drug distribution",Critical
Drug-Related Offenses,Chief of Narcotics Control,"drug ring, crystal meth, drug cultivation, drug money, drug related, suspicious packages",High
Assault,Commissioner of Law Enforcement,"coming after me, roughed up, picked a fight, jumped me",Medium
Drug-Related Offenses,Chief of Narcotics Control,"ecstasy, drug laboratory, drug sale",Medium
Fraud,Head of Financial Crimes Unit,"phone scam, telemarketing fraud, investment fraud, credit fraud, loan fraud, money laundering",Medium
Fraud,Head of Financial Crimes Unit,"medicare fraud, identity fraud, money laundering",Critical
Fraud,Head of Financial Crimes Unit,"pretending to be, wire fraud, fake email, gift card scam, fake website, mail fraud",Critical
Fraud,Head of Financial Crimes Unit,"scam, identity stolen, money transfer scam, ponzi scheme, false promises, internet fraud",High
Fraud,Head of Financial Crimes Unit,"fake company, credit fraud, fake email, strange transaction",High
Theft,Directorate of Police,"looted, ran off with, taken from my car, bike gone, catalytic converter theft",Low
Theft,Directorate of Police,"bike theft, car gone, ransacked",Critical
Assault,Commissioner of Law Enforcement,"physical threat, aggressive behavior, hit, assault with weapon",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug house, trafficking, street drugs",Low
Assault,Commissioner of Law Enforcement,"coming after me, threatened to hurt, got jumped",High
Theft,Directorate of Police,"purse snatching, nicked my, missing from my porch, broke into my house",Low
Assault,Commissioner of Law Enforcement,"got jumped, hit, got into a fight",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber extortion, network intrusion, cyber threat, online harassment, computer virus, strange messages",Medium
Assault,Commissioner of Law Enforcement,"physical altercation, started swinging, domestic violence, violent behavior, street fight",Medium
Theft,Directorate of Police,"took my stuff, someone took my, stole from me, grabbed my, broke in and took, petty theft",Critical
Assault,Commissioner of Law Enforcement,"beat me up, beaten, started swinging",High
Assault,Commissioner of Law Enforcement,"started swinging, physical harassment, physical abuse, threw punches",Medium
Cybercrime,Head of Cyber Crime Bureau,"database breach, cyber attack, email scam",Low
Theft,Directorate of Police,"purse snatching, missing, items missing, laptop stolen",High
Fraud,Head of Financial Crimes Unit,"fake check, insurance scam, fraudulent documents, inheritance scam, credit fraud, money disappeared",Medium
Drug-Related Offenses,Chief of Narcotics Control,"crack house, pharmaceutical theft, sketchy behavior, trafficking",Medium
Theft,Directorate of Police,"stolen from my yard, stole from me, missing from my porch",Low
Fraud,Head of Financial Crimes Unit,"loan fraud, identity fraud, welfare fraud, tax fraud, strange transaction",Low
Drug-Related Offenses,Chief of Narcotics Control,"marijuana, drug meetup, narcotic sales, drug enforcement",Low
Drug-Related Offenses,Chief of Narcotics Control,"drug laboratory, drug drops, dealing from car, illegal substances, drug house, dealing drugs",Critical
Fraud,Head of Financial Crimes Unit,"credit fraud, financial deception, insurance scam",Low
Assault,Commissioner of Law Enforcement,"getting threatening, acting aggressive, bodily harm, battery",Low
Assault,Commissioner of Law Enforcement,"roughed up, brawl, throwing things, physical intimidation",Low
Assault,Commissioner of Law Enforcement,"physical altercation, brutal attack, violence, assault with weapon, fight, physical injury",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber security breach, ransomware, denial of service, email hacked, crypto scam",Critical
Cybercrime,Head of Cyber Crime Bureau,"hacking incident, suspicious activity online, ransomware, weird emails, strange messages",Critical
Assault,Commissioner of Law Enforcement,"coming after me, physical threat, gang violence",Medium
Assault,Commissioner of Law Enforcement,"physical altercation, coming after me, hit",High
Fraud,Head of Financial Crimes Unit,"social security fraud, insurance scam, real estate fraud, financial deception, romance scam",Critical
Cybercrime,Head of Cyber Crime Bureau,"identity breach, social media hack, malware, password theft",Medium
Assault,Commissioner of Law Enforcement,"domestic violence, physical threat, punch, school violence, got attacked",High
Theft,Directorate of Police,"missing, steal, looted, nicked my, storage unit theft",Critical
Cybercrime,Head of Cyber Crime Bureau,"strange messages, cyber fraud, ransomware",High
Cybercrime,Head of Cyber Crime Bureau,"webcam hacked, digital theft, account compromised, strange messages",Low
Fraud,Head of Financial Crimes Unit,"money disappeared, forgery, tech support scam",Medium
Cybercrime,Head of Cyber Crime Bureau,"cyber blackmail, tech support scam, fake profile",High
Drug-Related Offenses,Chief of Narcotics Control,"dealing drugs, drug cartel, crack cocaine, drug related",High
Assault,Commissioner of Law Enforcement,"aggravated assault, gang violence, bodily harm",High
Assault,Commissioner of Law Enforcement,"threw punches, threatening, getting violent, violent confrontation",Low
Cybercrime,Head of Cyber Crime Bureau,"digital extortion, hacking incident, online harassment",Low
Fraud,Head of Financial Crimes Unit,"employment fraud, investment scam, fraudulent documents, fake job offer, financial deception",Low
Fraud,Head of Financial Crimes Unit,"mortgage fraud, card got charged, securities fraud, tax fraud, advance fee fraud, lottery scam",High
Drug-Related Offenses,Chief of Narcotics Control,"drug distribution, substance abuse, late night activity, drug conspiracy, prescription drugs, drug related",Critical
Assault,Commissioner of Law Enforcement,"violent attack, attacked me, violence, violent outburst, got into a fight",Medium
Theft,Directorate of Police,"pinched my, package theft, stole from me, stealing, looted, steal",Low
Fraud,Head of Financial Crimes Unit,"insurance scam, telemarketing fraud, healthcare fraud, payment fraud, strange transaction, real estate fraud",Medium
Drug-Related Offenses,Chief of Narcotics Control,"drug distribution, ecstasy, drug conspiracy",High
Drug-Related Offenses,Chief of Narcotics Control,"illegal substances, selling drugs, drug enforcement, drug ring",Low
Cybercrime,Head of Cyber Crime Bureau,"cyber terrorism, cyber attack, cyber extortion, breach, identity breach, pop-up scam",Critical
